algorithm,data_type,array_size,avg_time_us,avg_char_comparisons
ternary_string_quicksort,nearly_sorted,1000,30.10,13367.00
lcp_mergesort,nearly_sorted,1000,412.70,4110.00
msd_radix_sort,nearly_sorted,1000,287.90,2410.00
msd_radix_sort_with_quicksort,nearly_sorted,1000,82.10,8023.00
standard_quicksort,nearly_sorted,1100,113.00,142866.00
standard_mergesort,nearly_sorted,1100,254.90,9849.00
ternary_string_quicksort,nearly_sorted,1100,37.30,15079.00
lcp_mergesort,nearly_sorted,1100,479.90,4511.00
msd_radix_sort,nearly_sorted,1100,316.20,2648.00
msd_radix_sort_with_quicksort,nearly_sorted,1100,91.50,8801.00
standard_quicksort,nearly_sorted,1200,128.00,158360.00
standard_mergesort,nearly_sorted,1200,275.30,10706.00
ternary_string_quicksort,nearly_sorted,1200,39.20,16700.00
lcp_mergesort,nearly_sorted,1200,531.00,4836.00
msd_radix_sort,nearly_sorted,1200,349.70,2897.00
msd_radix_sort_with_quicksort,nearly_sorted,1200,97.00,9637.00
standard_quicksort,nearly_sorted,1300,142.30,182050.00
standard_mergesort,nearly_sorted,1300,291.40,11558.00
ternary_string_quicksort,nearly_sorted,1300,43.20,18216.00
lcp_mergesort,nearly_sorted,1300,582.00,5231.00
msd_radix_sort,nearly_sorted,1300,372.50,3134.00
msd_radix_sort_with_quicksort,nearly_sorted,1300,110.30,10430.00
standard_quicksort,nearly_sorted,1400,158.20,200489.00
standard_mergesort,nearly_sorted,1400,326.80,12465.00
ternary_string_quicksort,nearly_sorted,1400,43.30,20008.00
lcp_mergesort,nearly_sorted,1400,625.80,5639.00
msd_radix_sort,nearly_sorted,1400,414.00,3374.00
msd_radix_sort_with_quicksort,nearly_sorted,1400,113.80,11206.00
standard_quicksort,nearly_sorted,1500,177.60,227293.00
standard_mergesort,nearly_sorted,1500,349.90,13579.00
ternary_string_quicksort,nearly_sorted,1500,51.10,21511.00
lcp_mergesort,nearly_sorted,1500,668.90,6068.00
msd_radix_sort,nearly_sorted,1500,430.60,3616.00
msd_radix_sort_with_quicksort,nearly_sorted,1500,120.30,11985.00
standard_quicksort,nearly_sorted,1600,185.40,232079.00
standard_mergesort,nearly_sorted,1600,375.90,14422.00
ternary_string_quicksort,nearly_sorted,1600,55.40,23020.00
lcp_mergesort,nearly_sorted,1600,729.60,6380.00
msd_radix_sort,nearly_sorted,1600,463.60,3849.00
msd_radix_sort_with_quicksort,nearly_sorted,1600,131.80,12766.00
standard_quicksort,nearly_sorted,1700,189.70,238734.00
standard_mergesort,nearly_sorted,1700,406.20,15430.00
ternary_string_quicksort,nearly_sorted,1700,57.70,24551.00
lcp_mergesort,nearly_sorted,1700,783.60,6812.00
msd_radix_sort,nearly_sorted,1700,484.10,4083.00
msd_radix_sort_with_quicksort,nearly_sorted,1700,144.30,13541.00
standard_quicksort,nearly_sorted,1800,191.20,239872.00
standard_mergesort,nearly_sorted,1800,436.00,16480.00
ternary_string_quicksort,nearly_sorted,1800,62.60,26373.00
lcp_mergesort,nearly_sorted,1800,831.50,7316.00
msd_radix_sort,nearly_sorted,1800,512.30,4326.00
msd_radix_sort_with_quicksort,nearly_sorted,1800,150.30,14292.00
standard_quicksort,nearly_sorted,1900,193.40,242927.00
standard_mergesort,nearly_sorted,1900,453.90,17481.00
ternary_string_quicksort,nearly_sorted,1900,65.40,28351.00
lcp_mergesort,nearly_sorted,1900,883.50,7662.00
msd_radix_sort,nearly_sorted,1900,548.70,4579.00
msd_radix_sort_with_quicksort,nearly_sorted,1900,156.40,15146.00
standard_quicksort,nearly_sorted,2000,196.90,242058.00
standard_mergesort,nearly_sorted,2000,479.40,18578.00
ternary_string_quicksort,nearly_sorted,2000,69.30,29504.00
lcp_mergesort,nearly_sorted,2000,944.10,8131.00
msd_radix_sort,nearly_sorted,2000,571.60,4822.00
msd_radix_sort_with_quicksort,nearly_sorted,2000,163.00,15902.00
standard_quicksort,nearly_sorted,2100,212.40,264985.00
standard_mergesort,nearly_sorted,2100,509.40,19738.00
ternary_string_quicksort,nearly_sorted,2100,73.50,31479.00
lcp_mergesort,nearly_sorted,2100,1003.40,8659.00
msd_radix_sort,nearly_sorted,2100,597.80,5063.00
msd_radix_sort_with_quicksort,nearly_sorted,2100,178.40,16699.00
standard_quicksort,nearly_sorted,2200,231.20,282645.00
standard_mergesort,nearly_sorted,2200,540.20,20487.00
ternary_string_quicksort,nearly_sorted,2200,81.10,33068.00
lcp_mergesort,nearly_sorted,2200,1059.00,8881.00
msd_radix_sort,nearly_sorted,2200,630.60,5312.00
msd_radix_sort_with_quicksort,nearly_sorted,2200,180.80,17519.00
standard_quicksort,nearly_sorted,2300,243.60,307197.00
standard_mergesort,nearly_sorted,2300,564.00,21456.00
ternary_string_quicksort,nearly_sorted,2300,84.30,35168.00
